"","ID","ID-IC","Name","State-District","Long","Lat","1901","1911","1921","1931","1941","1951","1961","1981","1991","2001","2011"
"1","Del11371","Del709","Delhi","07_09",77.2437,28.5995,240400,264700,331500,483900,741600,1537400,5952080,9611926,12143816,17144995,22424729
"2","Kol13564","Kol1917","Kolkata","19_17",88.3662,22.5401,1502500,1737700,1854600,2095400,3574200,4761100,5283105,9555610,11444058,15979365,17251493
"3","Mum5791","Mum2722","Mumbai","27_22",72.8563,19.0859,839900,1046600,1285600,1316600,1747400,3228100,4918815,9572124,11348168,14697085,16743028
"4","Thi18365","Thi3214","Thiruvananthapuram","32_14",76.9472999999999,8.46786,63600,75900,101400,133700,577912,1600035,2186588,4101904,6248376,7907589,9933080
"5","Che1928","Che3302","Chennai","33_02",80.2695,13.0823,587900,610400,754300,903000,1525000,1901800,2832985,4948910,5733455,6925294,8731844
"6","Ban2011","Ban2920","Bangalore","29_20",77.5999,12.9756,161500,189500,240100,309800,411000,786400,2167278,4216647,4625257,5850084,8592776
"7","Hyd4702","Hyd2805","Hyderabad","28_05",78.4606,17.4101,448500,502200,405700,466900,739200,1134600,2277797,3721380,4381890,5913737,7430649
"8","Ahm8022","Ahm2407","Ahmadabad","24_07",72.6,23.0306,185900,216800,274100,313800,595300,877400,2419659,3609028,3774967,4552326,5653127
"9","Koz1123","Koz324","Kozhikode","32_04",75.7769910789999,11.2586858177,78500,82400,99300,132700,357343,760657,2472627,3057057,4692757,5374130,5536683
"10","Pun5680","Pun2725","Pune","27_25",73.857122,18.517283,164200,172900,198600,250200,324300,605600,1172404,1809061,2294287,3866067,5308230
"11","Sur6784","Sur2422","Surat","24_22",72.8292,21.1969,164175,157988,184405,155371,321563,428544,891112,1481795,1547884,2816053,4527057
"12","Mal723","Mal325","Malappuram","32_05",76.0838694766,11.0428139886,NA,NA,NA,25659,45719,114297,1665072,2687722,3316694,3947441,4466458
"13","Jai9995","Jai812","Jaipur","08_12",75.771844,26.895886,160200,137100,120300,144200,175900,291200,493707,1429743,1689784,1922808,3171332
"14","Luc9871","Luc927","Lucknow","09_27",80.912206,26.856007,256300,252200,240600,274700,387200,496900,1230104,1533390,1704445,2293644,2949426
"15","Kan9611","Kan934","Kanpur","09_34",80.3253,26.4621,202800,178600,216500,243800,487400,705400,1416162,2032467,2180358,2715555,2918971
"16","Nag6610","Nag2709","Nagpur","27_09",79.0803,21.1432,166700,118600,165500,241600,328900,455300,819057,1302963,1718399,2193592,2604992
"17","Pat15546","Pat1028","Patna","10_28",85.1474,25.6024,194370,190630,186558,237888,306750,337760,325488,359574,600597,2026179,2434151
"18","Ind7676","Ind2326","Indore","23_26",75.865756,22.728895,97900,54200,105400,142600,203700,310900,706888,1129133,1401398,1653282,2209425
"19","Kal5864","Kal2721","Kalyan-Dombivli","27_21",73.091214,19.214046,NA,NA,NA,NA,NA,NA,1100012,1418923,1437561,1925800,2085106
"20","Agr10306","Agr915","Agra","09_15",78.0183,27.1803,188100,185500,185600,229800,284200,375700,531834,814778,1169380,1449665,1804713
"21","Lud13002","Lud309","Ludhiana","03_09",75.8544,30.9141,53570,48620,61242,80948,139625,196864,474487,840057,1111337,1506476,1802296
"22","Bho8043","Bho2332","Bhopal","23_32",77.406634,23.259261,77100,56300,45100,61100,75300,102400,593374,912883,1062771,1458416,1795648
"23","Coi910","Coi3312","Coimbatore","33_12",76.956002,10.998763,53100,47100,75600,108100,174600,265000,576867,1025415,1190303,1383128,1777316
"24","Vis5511","Vis2813","Visakhapatnam","28_13",83.302721,17.730364,44990,47850,52864,67732,87875,138368,361157,1060300,1141412,1386359,1731713
"25","Vad7524","Vad2419","Vadodara","24_19",73.1989,22.2953,114180,109340,111864,133222,191750,270720,859089,1160775,1427153,1483478,1704642
"26","Cha12941","Cha401","Chandigarh","04_01",76.784812,30.73489,NA,NA,NA,NA,NA,NA,408417,685049,889016,1313556,1662834
"27","Nas6168","Nas2720","Nashik","27_20",73.788201,19.996315,26840,35200,67378,67732,92750,200832,501669,646452,808682,1132337,1546780
"28","Mad423","Mad3324","Madurai","33_24",78.1187,9.91744,106000,134200,144200,187900,245000,370900,760275,1002454,1157356,1233786,1451726
"29","Mee11838","Mee907","Meerut","09_07",77.707826,28.96967,121300,119600,125600,141200,179300,239500,559993,817809,866723,1173480,1415593
"30","Koc","Koc3208","Kochi","32_08",76.21667,10.01667,91300,98900,140400,174900,228200,354900,487600,818000,1139600,1385500,1408987
"31","Jam13674","Jam2018","Jamshedpur","20_18",86.223134,22.792353,NA,NA,57400,92500,165400,218200,538544,1140779,1220814,1175661,1378128
