"","1831","1836","1841","1846","1851","1856","1861","1866","1872","1876","1881","1886","1891","1896","1901","1906","1911","1912","1921","1926","1931","1936","1946","1954","1955","1962","1968","1975","1982","1990","1999"
"BELLEY","4300","4000","3600","5000","4900","4900","4800","4600","4700","5000","5600","6200","6300","6100","6100","5700","6200","4493","4300","4203","4274","4629","4754","5067","5067","5933","7049","7574","7981","7807","8735"
"BOURG-EN-BRESSE","9000","9500","9000","11800","12100","11700","14100","13700","14300","15700","18200","18100","19000","18500","18900","20000","20500","15483","16503","17543","18775","20615","22377","23527","23527","30164","43655","50697","52107","55784","57198"
"NANTUA","3700","3700","3800","3700","3700","3500","3700","3800","3400","3400","3300","3200","3000","3000","3000","2900","3000","2852","2735","2776","2800","2571","2523","2817","2817","3265","3560","3906","4098","4217","4519"
"BOHAIN-EN-VERMANDOIS","3000","3400","3500","4000","4200","4500","5100","5300","5900","6000","6700","6700","7000","7400","6800","6800","6900","6756","5881","6350","6519","6173","5778","6088","6088","6726","7090","7513","7243","6955","6600"
"CHATEAU-THIERRY","4700","4800","4700","5400","5600","5500","5900","6500","6600","6900","7000","7300","6900","7100","7100","7300","7800","7641","7622","8032","7821","7741","7671","8398","8398","10739","17537","20185","22623","23870","23522"
"CHAUNY","4300","4500","4900","5800","6300","7700","8200","9100","8800","9200","8900","9100","9300","9900","10500","10500","10700","10476","5535","11203","10840","8600","11272","10904","13167","16450","19848","20590","20076","19663","19345"
"FRESNOY-LE-GRAND","3400","3500","3600","4000","4000","4200","4300","4400","4200","4000","3900","3700","3700","3800","3700","3400","3400","3400","2603","2838","2833","2800","2474","2719","2719","2995","3371","3729","3635","3581","3272"
"GUISE","3100","3200","3200","3500","4100","4100","4700","5300","5700","6300","7100","7700","8200","8100","7300","7800","8100","7789","6143","7002","7040","6908","5966","6842","6842","7270","6805","6642","6195","5976","5901"
"HIRSON","2700","2900","3000","3100","3200","3300","3200","3300","4000","4400","4800","5700","6300","6600","7500","8500","9600","9440","9591","11083","11220","11087","10264","11877","11877","12644","12769","12768","12204","11041","11229"
"LAON","8400","8200","7700","9800","10100","10400","10100","10300","10400","12100","12600","13700","14100","14600","15400","15300","16300","12629","15148","17225","17406","17796","16608","20287","20287","24877","26438","28334","27363","27199","27050"
"SAINT-QUENTIN","17700","20600","21100","23900","25000","27700","30800","32700","34800","38900","45800","47400","47600","48900","50300","52800","55600","53435","36829","51536","51855","50356","49923","55962","55962","65126","70620","74867","71655","71113","69287"
"SOISSONS","8100","8100","7700","10100","9500","10500","10200","11100","10400","11100","11100","11900","12100","12400","13200","14300","14500","12691","13372","16335","17137","17444","17247","19038","19038","31948","39738","45809","46980","46168","45274"
"VILLERS-COTTERETS","2700","2700","3100","3500","3600","3400","3600","3400","3100","3200","3800","3800","4600","4800","5000","5400","5600","3814","3541","3656","3620","3646","3492","4523","4523","6150","7411","8931","8380","8867","9839"
"GANNAT","5200","5100","5200","5500","5400","5800","5600","5500","5700","5600","5700","5600","5800","5700","5300","5100","4900","4834","4376","4436","4513","4756","5137","4962","4962","5348","5967","6355","6255","5919","5838"
"MONTLUCON","5000","5700","5700","7300","11800","18400","19400","22100","24700","28900","31800","33500","33500","37500","41300","40500","39900","35981","37279","38897","41939","43231","53724","52461","52461","65173","70927","71910","67871","63018","60993"
"MOULINS","14700","15200","13900","17100","17300","20700","20300","22800","23500","21800","25400","26200","28000","27900","28300","28000","25500","24987","20604","20648","20991","27577","28119","30261","30261","32654","39163","42527","42338","41715","40050"
"SAINT-POURCAIN-SUR-SIOULE","4400","4700","4600","5000","4900","4900","5000","5000","5000","5000","5000","5100","5000","5000","4900","5100","4900","4816","4475","4680","4546","4483","4337","4300","4300","4799","5088","5345","5199","5159","5266"
"VICHY","9800","10200","10000","11000","11000","14300","16000","18800","18600","19000","21100","23900","23800","25200","27500","30800","32700","23084","23803","29369","33896","37066","42272","44430","44430","47831","57020","59047","62761","61566","60877"
"DIGNE","3900","6400","4000","4900","4800","5400","5300","7000","6900","7200","6800","7100","7300","7300","7200","7500","7300","6471","5455","5924","6214","6830","8301","9509","9509","12014","14217","14911","14737","16087","16757"
"MANOSQUE","5500","5000","5200","5700","5100","5900","5900","5900","6100","6100","5800","5500","7600","5300","5100","5000","4800","4792","4948","4901","5618","5635","6620","7472","7472","10055","16204","19124","18721","24876","25938"
"SISTERON","4400","4500","3700","4400","4600","4500","4300","4200","4600","4300","4000","3900","4000","3900","3900","3700","3600","3435","3181","3195","3095","3227","3340","3884","3884","5325","6289","7243","6470","6594","6964"
"GAP","7200","7800","7800","8700","8800","8900","8200","8200","8900","9300","10800","11600","10500","11400","11000","10800","10600","9049","8763","9203","10054","11965","14744","16810","16810","20932","24474","28143","30600","33444","36262"
"NICE","29000","35000","32000","39000","42000","45000","48300","50200","54900","58500","72100","83700","94700","100600","112600","142300","154900","140674","154168","186844","222626","242511","213059","240111","247413","307708","390062","435514","447848","516740","888784"
"ANNONAY","8300","9000","9900","11900","13200","13700","16300","18400","17000","15800","17300","17300","17600","17000","17500","17300","16700","16424","14876","14514","14935","14789","14890","15745","15745","19185","23287","25505","25175","25865","25618"
"AUBENAS","4800","4700","4800","6800","7400","8000","8500","7700","7400","7800","8300","8100","7800","8200","8400","7100","7200","6810","5946","6751","6899","7215","7384","7806","7806","9220","22573","25218","24297","24052","25517"
"BOURG-SAINT-ANDEOL","4300","4300","4300","4700","4900","4400","4600","4500","4500","4300","4300","4300","4300","4300","4200","4200","4200","3930","4022","4025","3585","3179","2835","3453","3453","4393","7102","6851","7400","7795","7768"
"PRIVAS","4300","4200","4400","5200","5300","5200","6700","7200","7800","7800","7900","7600","7300","7800","7600","7000","7300","5691","4888","5411","5197","5500","5787","5636","5636","7030","10645","12300","13175","14473","14752"
"TOURNON","4000","4200","4400","4800","4900","4900","5300","5500","5400","6100","5100","5300","5100","5300","5200","5000","4700","7228","7114","7503","8060","8700","9089","9804","9804","11944","14497","15821","16432","16864","17843"
"CHARLEVILLE-MEZIERES","11600","13000","12300","14300","14500","13700","15500","17000","17000","19100","25200","27200","28100","29600","31800","36200","40500","36900","37371","40729","41581","41587","31765","42072","45090","55858","63618","68512","66963","67213","65727"
"GIVET","4200","4300","4100","5900","5600","5900","6400","5800","5100","5600","7000","7800","7100","7100","6900","7500","7800","5832","5507","6803","6826","6415","5524","6656","6656","7444","9732","9684","9558","10017","9342"
"RETHEL","6600","6800","7200","7800","8400","7500","7300","7400","7100","7400","7400","7400","7100","6700","6400","5700","5200","4907","4556","5586","5265","5360","4485","6715","6715","8807","10068","10817","10899","10462","10414"
"SEDAN","13700","13700","12200","14600","16800","15200","15500","15100","14300","16600","19600","19300","20300","20200","19300","19600","19500","16063","15410","16363","17339","16828","13072","18603","18603","24357","29328","30661","30731","28992","27954"
"FOIX","4900","4700","4700","5100","4700","5300","5500","6700","6700","6400","7100","7100","7600","6400","7100","6800","6800","6031","5723","5913","5902","6587","7279","7259","7259","8098","9590","10051","9845","10624","10378"
